city,country,region,address,latitude,longitude
Algiers,Algeria,Africa,"Algiers, Algeria, Africa",36.7525000000001,3.04197000000005
Bujumbura,Burundi,Africa,"Bujumbura, Burundi, Africa",-3.36006999999995,29.3693400000001
Cotonou,Benin,Africa,"Cotonou, Benin, Africa",6.37511000000006,2.42343000000005
Bangui,Central African Republic,Africa,"Bangui, Central African Republic, Africa",4.39669000000004,18.5586000000001
Brazzaville,Congo,Africa,"Brazzaville, Congo, Africa",-4.27534999999995,15.2844200000001
Cairo,Egypt,Africa,"Cairo, Egypt, Africa",30.0466300000001,31.3760300000001
Addis Ababa,Ethiopia,Africa,"Addis Ababa, Ethiopia, Africa",9.01461000000006,38.7634800000001
Libreville,Gabon,Africa,"Libreville, Gabon, Africa",0.393240000000048,9.44633000000005
Banjul,Gambia,Africa,"Banjul, Gambia, Africa",13.4535700000001,-16.57474
Conakry,Guinea,Africa,"Conakry, Guinea, Africa",9.57538000000005,-13.6569699999999
Bissau,Guinea-Bissau,Africa,"Bissau, Guinea-Bissau, Africa",11.8594600000001,-15.59853
Abidjan,Ivory Coast,Africa,"Abidjan, Ivory Coast, Africa",5.32690000000002,-4.02172999999993
Nairobi,Kenya,Africa,"Nairobi, Kenya, Africa",-1.32068999999996,36.8096400000001
Rabat,Morocco,Africa,"Rabat, Morocco, Africa",33.99785,-6.84653999999995
Antananarivo,Madagascar,Africa,"Antananarivo, Madagascar, Africa",-18.9100299999999,47.52736
Nouakchott,Mauritania,Africa,"Nouakchott, Mauritania, Africa",18.09193,-15.97248
Lilongwe,Malawi,Africa,"Lilongwe, Malawi, Africa",-13.9855699999999,33.77027
Maputo,Mozambique,Africa,"Maputo, Mozambique, Africa",-25.96388,32.58676
Windhoek,Namibia,Africa,"Windhoek, Namibia, Africa",-22.57159,17.09074
Niamey,Nigeria,Africa,"Niamey, Nigeria, Africa",-29.66972,31.00363
Lagos,Nigeria,Africa,"Lagos, Nigeria, Africa",6.64777000000004,3.36538000000007
Dakar,Senegal,Africa,"Dakar, Senegal, Africa",14.72414,-17.44409
Freetown,Sierra Leone,Africa,"Freetown, Sierra Leone, Africa",8.48686000000004,-13.234680000000001
Capetown,South Africa,Africa,"Capetown, South Africa, Africa",-33.9860899999999,18.46878
Lome,Togo,Africa,"Lome, Togo, Africa",6.18590000000006,1.18876000000006
Tunis,Tunisia,Africa,"Tunis, Tunisia, Africa",36.7993700000001,10.1831500000001
Dar Es Salaam,Tanzania,Africa,"Dar Es Salaam, Tanzania, Africa",-6.8160953986201704,39.2819237399756
Kampala,Uganda,Africa,"Kampala, Uganda, Africa",0.351280000000031,32.5379300000001
Lusaka,Zambia,Africa,"Lusaka, Zambia, Africa",-15.36189,28.2949
Dhaka,Bangladesh,Asia,"Dhaka, Bangladesh, Asia",23.80675,90.36877
Beijing,China,Asia,"Beijing, China, Asia",39.9075,116.39723
Chengdu,China,Asia,"Chengdu, China, Asia",30.6719000000001,104.0758
Guangzhou,China,Asia,"Guangzhou, China, Asia",23.1166700000001,113.25
Shanghai,China,Asia,"Shanghai, China, Asia",31.22222,121.45806
Shenyang,China,Asia,"Shenyang, China, Asia",41.79222,123.43278
Hong Kong,Hong Kong,Asia,"Hong Kong, Hong Kong, Asia",22.28817,114.19214
Bombay (Mumbai),India,Asia,"Bombay (Mumbai), India, Asia",19.01872,72.84076
Calcutta,India,Asia,"Calcutta, India, Asia",22.6217600000001,88.45052
Chennai (Madras),India,Asia,"Chennai (Madras), India, Asia",13.08586,80.2552000000001
Delhi,India,Asia,"Delhi, India, Asia",28.6986200000001,77.13964
Jakarta,Indonesia,Asia,"Jakarta, Indonesia, Asia",-6.13598999999994,106.82519
Osaka,Japan,Asia,"Osaka, Japan, Asia",34.6937259100001,135.50216195
Sapporo,Japan,Asia,"Sapporo, Japan, Asia",43.0620372400001,141.35436879
Tokyo,Japan,Asia,"Tokyo, Japan, Asia",35.68945633,139.69171609
Almaty,Kazakhstan,Asia,"Almaty, Kazakhstan, Asia",43.25021,76.9403300000001
Bishkek,Kyrgyzstan,Asia,"Bishkek, Kyrgyzstan, Asia",42.8843400000001,74.6035400000001
Vientiane,Laos,Asia,"Vientiane, Laos, Asia",17.96667,102.6
Kuala Lumpur,Malaysia,Asia,"Kuala Lumpur, Malaysia, Asia",3.14789000000007,101.69405
Ulan-bator,Mongolia,Asia,"Ulan-bator, Mongolia, Asia",47.92218,106.9181
Rangoon,Myanmar (Burma),Asia,"Rangoon, Myanmar (Burma), Asia",16.80528,96.1561100000001
Katmandu,Nepal,Asia,"Katmandu, Nepal, Asia",27.7233500465394,85.3053601110845
Pyongyang,North Korea,Asia,"Pyongyang, North Korea, Asia",39.03385,125.75432
Islamabad,Pakistan,Asia,"Islamabad, Pakistan, Asia",33.72148,73.0432900000001
Karachi,Pakistan,Asia,"Karachi, Pakistan, Asia",24.9056,67.0822000000001
Manila,Philippines,Asia,"Manila, Philippines, Asia",14.6048700000001,120.98627
Singapore,Singapore,Asia,"Singapore, Singapore, Asia",1.29041000000007,103.85211
Seoul,South Korea,Asia,"Seoul, South Korea, Asia",37.5682600000001,126.97783
Colombo,Sri Lanka,Asia,"Colombo, Sri Lanka, Asia",6.93243000000007,79.8458800000001
Taipei,Taiwan,Asia,"Taipei, Taiwan, Asia",25.04853,121.5624
Dusanbe,Tajikistan,Asia,"Dusanbe, Tajikistan, Asia",38.5357500000001,68.77905
Bangkok,Thailand,Asia,"Bangkok, Thailand, Asia",13.7071800000001,100.48196
Ashabad,Turkmenistan,Asia,"Ashabad, Turkmenistan, Asia",37.95,58.3833300000001
Tashkent,Uzbekistan,Asia,"Tashkent, Uzbekistan, Asia",41.3256700000001,69.24129
Hanoi,Vietnam,Asia,"Hanoi, Vietnam, Asia",21.0288800000001,105.85464
Brisbane,Australia,Australia/South Pacific,"Brisbane, Australia, Australia/South Pacific",-27.2070116799898,153.096580596592
Canberra,Australia,Australia/South Pacific,"Canberra, Australia, Australia/South Pacific",-35.0678883583501,138.589590079426
Melbourne,Australia,Australia/South Pacific,"Melbourne, Australia, Australia/South Pacific",-34.619916928696,138.577536268519
Perth,Australia,Australia/South Pacific,"Perth, Australia, Australia/South Pacific",-32.1559221351326,115.870910632749
Sydney,Australia,Australia/South Pacific,"Sydney, Australia, Australia/South Pacific",-33.7769299999999,151.16847
Auckland,New Zealand,Australia/South Pacific,"Auckland, New Zealand, Australia/South Pacific",-36.8840112535905,174.641099230138
Tirana,Albania,Europe,"Tirana, Albania, Europe",41.3662457457651,19.7624891830519
Vienna,Austria,Europe,"Vienna, Austria, Europe",48.20617,16.3712600000001
Minsk,Belarus,Europe,"Minsk, Belarus, Europe",53.90374,27.56546
Brussels,Belgium,Europe,"Brussels, Belgium, Europe",50.87584,4.39308000000005
Sofia,Bulgaria,Europe,"Sofia, Bulgaria, Europe",42.7675602566551,23.2089361881217
Zagreb,Croatia,Europe,"Zagreb, Croatia, Europe",45.8134000000001,15.9490000000001
Nicosia,Cyprus,Europe,"Nicosia, Cyprus, Europe",35.17148,33.36184
Prague,Czech Republic,Europe,"Prague, Czech Republic, Europe",50.0791300000001,14.4330200000001
Copenhagen,Denmark,Europe,"Copenhagen, Denmark, Europe",55.67866,12.5792900000001
Helsinki,Finland,Europe,"Helsinki, Finland, Europe",60.1637200000001,24.94593
Paris,France,Europe,"Paris, France, Europe",48.88223,2.32599000000005
Bordeaux,France,Europe,"Bordeaux, France, Europe",44.8596016135219,-0.580033357634815
Bonn,Germany,Europe,"Bonn, Germany, Europe",50.7058227807433,7.1547182714634
Frankfurt,Germany,Europe,"Frankfurt, Germany, Europe",50.12969,8.67275000000006
Hamburg,Germany,Europe,"Hamburg, Germany, Europe",53.56593,9.89470000000006
Munich,Germany,Europe,"Munich, Germany, Europe",48.15198,11.55625
Tbilisi,Georgia,Europe,"Tbilisi, Georgia, Europe",41.7090700000001,44.7961000000001
Athens,Greece,Europe,"Athens, Greece, Europe",37.9925500000001,23.7613700000001
Budapest,Hungary,Europe,"Budapest, Hungary, Europe",47.3814715740913,19.1214405556611
Reykjavik,Iceland,Europe,"Reykjavik, Iceland, Europe",64.1474600000001,-21.93422
Dublin,Ireland,Europe,"Dublin, Ireland, Europe",53.34639,-6.28454999999997
Milan,Italy,Europe,"Milan, Italy, Europe",45.5298500000001,9.04578000000004
Rome,Italy,Europe,"Rome, Italy, Europe",41.9242,12.5327600000001
Riga,Latvia,Europe,"Riga, Latvia, Europe",56.9459800000001,24.1148700000001
Skopje,Macedonia,Europe,"Skopje, Macedonia, Europe",41.99469,21.43026
Amsterdam,The Netherlands,Europe,"Amsterdam, The Netherlands, Europe",52.3676600000001,4.89431000000008
Oslo,Norway,Europe,"Oslo, Norway, Europe",59.91234,10.7500000000001
Warsaw,Poland,Europe,"Warsaw, Poland, Europe",52.2087000000001,21.0293600000001
Lisbon,Portugal,Europe,"Lisbon, Portugal, Europe",38.71621,-9.14263999999997
Bucharest,Romania,Europe,"Bucharest, Romania, Europe",44.4382600000001,26.11452
Moscow,Russia,Europe,"Moscow, Russia, Europe",55.70824,37.6883700000001
Yerevan,Russia,Europe,"Yerevan, Russia, Europe",55.4435100000001,65.3418800000001
Pristina,Serbia-Montenegro,Europe,"Pristina, Serbia-Montenegro, Europe",42.6718000000001,21.16243
Bratislava,Slovakia,Europe,"Bratislava, Slovakia, Europe",48.1492400000001,17.1069900000001
Barcelona,Spain,Europe,"Barcelona, Spain, Europe",41.53682,2.04277000000008
